HEADER,VLE_HTC_20120210,
Default,1001,1101
Default Car-kit,1201,1301
JKDAP3264,1002,1102
JKDAP3265,1003,1103
BHM400,1004,1104
HTC BH M500,1005,1105
MW600,1006,1106
Motorola H17,1007,1107
HM1000,1008,1108
PLT_M1100,1009,1109
Jabra EXTREME,1010,1110
9xxBackBeat,1011,1111
Nokia BH-505,1012,1112
Motorola S10-HD,1013,1113
JABRA WAVE,1014,1114
JABRA STONE2,1015,1115
Jawbone ERA,1016,1116
PLT_BB903+,1017,1117
Nokia BH-111,1018,1118
BlueAnt Q2 V1.1,1019,1119
Voyager PRO+,1020,1120
Motorola HX550,1021,1121
HTC Car V100,1022,1122
@^[0-9]{8}-CH[1-4]$,1801,1901,Metrico BT MOS
@^MT8855A [0-9]{4}$,1802,1902,VzW lab
END,
